Image Name,Player,ELO,Crc,Result,Opponent,Opponent ELO,Opponent Crc,Tournament,Date,1st Serve %,Aces,Double Faults,Fastest Serve,Avg 1st Serve Speed,Avg 2nd Serve Speed,Winners,Forced Errors,Unforced Errors,Net Points Won %,Break Points Won %,Total Points Won,Short Rallies Won (<5) %,Medium Rallies Won (5-8) %,Long Rallies Won (>8) %,Average Rally Length,Set Points Saved,Match Points Saved,1st Serve Won %,2nd Serve Won %,Return Points Won %,Return Winners,Breaks / Games %,,,,
AO_Mahmut.png,Poland,1870 +27,7334370,6/0 6/1 6/1,Mahmut,991 -27,7334370,AO Rod Laver Night,17/01/2024 19:56,86%,2,0,196,182,152,52,8,12,50%,80%,83,33%,18%,31%,5.8,0,0,84%,57%,65%,0,100%,,,,
AO_Mahmut.png,Mahmut,991 -27,7334370,6/0 6/1 6/1,Poland,1870 +27,7334370,AO Rod Laver Night,17/01/2024 19:56,58%,3,0,221,195,152,10,13,16,0%,0%,33,33%,18%,31%,5.8,0,0,45%,22%,20%,0,0%,,,,
AO_Ondra.png,Poland,1716 +13,401000,7/6(2) 6/4 6/7(3) 6/2,Ondracool,1025 -13,13625926,AO Rod Laver Night,22/01/2023 14:45,79%,6,0,202,172,143,85,21,32,56%,44%,156,42%,48%,53%,5.6,0,0,64%,58%,45%,0,50%,,,,
AO_Ondra.png,Ondracool,1025 -13,13625926,7/6(2) 6/4 6/7(3) 6/2,Poland,1716 +13,401000,AO Rod Laver Night,22/01/2023 14:45,66%,6,2,213,183,150,75,20,43,61%,33%,134,42%,48%,53%,5.6,1,0,54%,57%,37%,5,50%,,,,
AO_Ptacek.png,Ptacek,1475 -21,14886759,6/4 7/6(5) 6/4,Poland,1752 +21,401000,AO Rod Laver Night,22/01/2023 22:00,76%,2,0,189,173,147,42,17,37,33%,50%,91,49%,58%,55%,7.8,2,1,59%,30%,41%,2,83%,,,,
AO_Ptacek.png,Poland,1752 +21,401000,6/4 7/6(5) 6/4,Ptacek,1475 -21,14886759,AO Rod Laver Night,22/01/2023 22:00,83%,3,0,199,174,142,48,18,29,67%,58%,105,49%,58%,55%,7.8,0,0,58%,65%,48%,1,83%,,,,
Arvin.png,Poland,1942 +18,7394963,7/6(2) 4/6 7/6(5),Arv,2305 -18,9465121,Delray Beach ATP 250,16/02/2025 18:24,63%,5,1,226,197,156,62,9,35,67%,29%,128,45%,49%,62%,5.7,4,0,75%,42%,34%,2,29%,,,,
Arvin.png,Arv,2305 -18,9465121,7/6(2) 4/6 7/6(5),Poland,1942 +18,7394963,Delray Beach ATP 250,16/02/2025 18:24,70%,14,1,219,195,150,71,15,45,50%,17%,130,55%,51%,38%,5.7,1,1,73%,49%,37%,4,33%,,,,
Barcelona_Unicah.png,Unicah,1356 -18,12446409,63 63,Poland,1757 +18,14827457,Barcelona ATP 500,20/05/2023 16:26,75%,1,1,195,177,146,22,8,24,0%,33%,46,52%,30%,37%,7.2,0,0,56%,40%,30%,1,50%,,,,
Barcelona_Unicah.png,Poland,1757 +18,14827457,63 63,Unicah,1356 -18,12446409,Barcelona ATP 500,20/05/2023 16:26,76%,0,0,205,175,144,31,8,15,0%,80%,64,48%,70%,63%,7.2,0,0,66%,83%,48%,0,80%,,,,
